Member,Organization,Type,Reg Number,Role,Appointed,Resigned,Status,Notes
Robert Berkeley MBE,THE BLACK BOY JOY CLUB CIC,CIC,11794996,Director,07/03/2025,,Active,
Robert Berkeley MBE,DOC SOCIETY CHARITABLE TRUST,Company,08446956,Director,04/03/2021,,Active,
Robert Berkeley MBE,RIVERSIDE TRUST,Charity/Company,01698349,Director,03/12/2020,,Active,In Administration
Robert Berkeley MBE,STANLEY ARTS,Charity,1159270,Trustee,19/10/2024,,Active,
Robert Berkeley MBE,BLACK RESEARCHER CONSORTIUM CIC,CIC,16137821,Chair,2025,,Active,
Robert Berkeley MBE,BLKOUTUK LTD,Company,12765166,Director,23/07/2020,19/10/2021,Dissolved,
Robert Berkeley MBE,BARING FOUNDATION,Company,00950696,Director,18/03/2013,17/06/2025,Historical,
Robert Berkeley MBE,DOC SOCIETY,Company,05278207,Director,12/05/2016,04/03/2021,Historical,
Robert Berkeley MBE,EQUALLY OURS,Company,06464749,Director,20/07/2010,11/07/2012,Historical,First term
Robert Berkeley MBE,EQUALLY OURS,Company,06464749,Director,10/07/2013,09/07/2014,Historical,Second term
Robert Berkeley MBE,THE RUNNYMEDE TRUST,Company,03409935,Company Secretary,05/01/2009,31/01/2014,Historical,
Robert Berkeley MBE,THE NAZ PROJECT (LONDON),Company,03236229,Director,23/01/2003,19/10/2011,Historical,
Robert Berkeley MBE,STONEWALL EQUALITY LIMITED,Company,02412299,Director,20/01/2009,26/07/2011,Historical,
Jean-Eric Nkurikiye,MARSH MARBLE AND ARCH LTD,Company,05242246,Company Secretary,27/09/2004,27/09/2008,Dissolved,
Lloyd Young,,,,,,,No affiliations,
Nathan Lewis,,,,,,,No affiliations,
Olamide Adesanya,THE REEL HAPPY HOUR PODCAST SHOW LTD,Company,14499903,Director,23/12/2022,,Active,
Olamide Adesanya,NORTHANTS RAINBOW COLLECTIVE CIC,CIC,15134336,Director,13/08/2023,,Active,CONFLICT: Co-director with Cardew Jackson-Cole
Olamide Adesanya,VARSITY REIGN CLOTHING LTD,Company,13081070,Director,14/12/2020,25/04/2023,Dissolved,
Peter Fleming,,,,,,,No affiliations,
Reuben Silungwe,,,,,,,No affiliations,Previously reported Kaleidoscope Trust - confirmed NO relationship
Cardew Jackson-Cole,NORTHANTS RAINBOW COLLECTIVE CIC,CIC,15134336,Director,13/08/2023,,Active,CONFLICT: Co-director with Olamide Adesanya
Gerrard Martin,,,,,,,No affiliations,
